Final_ID,Raw_ID,Candidate_ID,Requirement_Text,Predicted_Requirement_Type,Confidence_Score,Probability_Functional_Requirement,Probability_Operability,Probability_Performance,Probability_Security,Probability_Usability,Human_Decision,Hierarchy_ID
1,3,CAND_3,"Requirements in this Standard are defined in terms of what shall be accomplished, rather than in terms of how to organize and perform the necessary work.",Functional Requirement,0.38595857998439226,0.38595857998439226,0.11217089554843862,0.13726684863272584,0.08499118439939365,0.2796124914350496,Not Reviewed,4
2,7,CAND_7,"In no respect shall ECSS incur any liability for any damages, including, but not limited to, direct, indirect, special, or consequential damages arising out of, resulting from, or in any way connected to the use of this Standard, whether or not based upon warranty, business agreement, tort, or otherwise; whether or not injury was sustained by persons or property or otherwise; and whether or not loss was sustained from, or arose out of, the results of, the item, or any services that may be provided by ECSS.",Usability,0.4885842974864344,0.43163241688568055,0.0462022227104121,0.004731118498068165,0.028849944419404732,0.4885842974864344,Not Reviewed,4
3,10,CAND_10,"1 June 2012 The main differences between ECSS‐E‐10‐03A and this version are:  General modifications to comply with ECSS rules better identifying the requirements and moving to Handbook the standard values;  The lists of abbreviated terms, terms and definitions have been up‐dated;  Clauses on Overall System Testing were merged in a unique new clause;  Clauses on Functional and performance tests were merged in single clauses at all levels;  For all clauses, minor modifications to ensure consistency with other ECSS standards have been done;  Others (EMC as example).",Functional Requirement,0.607431637690035,0.607431637690035,0.013144533792996604,0.10523381918847192,0.20622343837976667,0.06796657094872965,Not Reviewed,1
4,46,CAND_46,"94 Table D-1 : Guideline for verification close-out ....................................................................127 6 ECSS‐E‐ST‐10‐03C 1 June 2012 Introduction The requirements on the systems engineering process are gathered in ECSS‐E‐ ST‐10; while specific aspects are further elaborated in dedicated standards, in particular: ECSS‐E‐ST‐10‐06, ECSS‐E‐ST‐10‐02 and the present standard (ECSS‐ E‐ST‐10‐03) In the System Engineering branch (ECSS‐E‐10) this standard aims at a consistent application of on ground testing requirements to allow proper qualification and acceptance of space products Experience has demonstrated that incomplete or improper on ground testing approach significantly increase project risks leading to late discovery of design or workmanship problem(s) or in‐orbit failure(s).",Functional Requirement,0.5274949967381548,0.5274949967381548,0.22526189191009585,0.08023487395580249,0.010024761245516326,0.1569834761504305,Not Reviewed,1
5,47,CAND_47,Testing is part of the system engineering process as defined in ECSS‐E‐ST‐10.,Functional Requirement,0.4514005096314645,0.4514005096314645,0.28412933749050334,0.179708351958696,0.03788857677656969,0.04687322414276644,Not Reviewed,1
6,50,CAND_50,"The document is organised such that:     clause 4 provides requirements for overall test programme, test management and test conditions, tolerances and accuracy; clause 5 provides requirements for Space segment equipment; clause 6 provides requirements for Space segment element; clause 7 provides requirements for Pre‐launch testing.",Operability,0.6617347222526623,0.2975525310451685,0.6617347222526623,0.011407162058153453,0.009060654493823405,0.020244930150192346,Not Reviewed,1
7,56,CAND_56,8 ECSS‐E‐ST‐10‐03C 1 June 2012 1 Scope This standard addresses the requirements for performing verification by testing of space segment elements and space segment equipment on ground prior to launch.,Functional Requirement,0.5388378660144632,0.5388378660144632,0.19024784886988066,0.020862892418539246,0.0729312982346298,0.1771200944624871,Not Reviewed,4
8,66,CAND_66,"Tests of launcher segment, subsystem and equipment, and launch facilities, Tests of facilities and ground support equipment, Tests of ground segment.",Functional Requirement,0.8184637035404568,0.8184637035404568,0.08928745676582558,0.018494644707057438,0.01424347100202664,0.05951072398463355,Not Reviewed,1
9,74,CAND_74,"For the purpose of this standard; the terms and definitions from ECSS‐S‐ST‐00‐01 apply, and in particular the following: flight model lifetime protoflight model qualification model space segment element space segment equipment space segment subsystem structural model system ECSS‐S‐ST‐00‐01C defines the highest‐level system within a space project ‐ i.e.",Functional Requirement,0.7578325812091224,0.7578325812091224,0.12914109788745184,0.019642828482499958,0.04328641177977564,0.05009708064115005,Not Reviewed,1
10,76,CAND_76,The breakdown of a typical space system and the definition of standard terms for the constituent levels within the breakdown are given below (see Figure 3‐1 and subsequent definitions).,Functional Requirement,0.5963048160691171,0.5963048160691171,0.10954425641310735,0.020625591256787684,0.1267981353193492,0.14672720094163866,Not Reviewed,1
11,80,CAND_80,"This table, however, is not exhaustive 12 Space System Users ECSS‐E‐ST‐10‐03C 1 June 2012 Support Segment Space Segment Ground Segment Launch Segment Space Segment Element Space Segment System Space Segment Subsystem Ground Segment Element Ground Segment System Ground Segment Subsystem Launch Segment Element Launch Segment System Launch Segment Subsystem Space Segment Equipment/Unit Ground Segment Equipment/Unit Launch Segment Equipment/Unit Components ( = Parts) Materials Legend: Functional view Physical view Note 1: Since software can belong to any level it is not apparent in this chart Note 2: A subsystem can be split across two segments e.g.",Functional Requirement,0.8355479583631414,0.8355479583631414,0.08525740981214265,0.02569920695962801,0.028698622982900646,0.02479680188218725,Not Reviewed,1
12,83,CAND_83,"3.1.1 system set of interrelated or interacting functions constituted to achieve a specified objective 3.1.2 space system system that contains at least a space, a ground or a launch segment NOTE Generally a space system is composed of all three segments and is supported by a support segment.",Functional Requirement,0.6597040752682266,0.6597040752682266,0.2542508103903819,0.029647898516702097,0.01791903064404126,0.03847818518064813,Not Reviewed,1
13,84,CAND_84,"3.1.3 space segment part of a space system, placed in space, to fulfil the space mission objectives 3.1.4 space segment system system within a space segment NOTE Examples are given in Annex B.1.",Functional Requirement,0.6634058007862008,0.6634058007862008,0.21957853794498688,0.02102039357043815,0.059301646681152655,0.03669362101722143,Not Reviewed,1
14,89,CAND_89,"3.1.7 embedded space segment element space segment element that performs its mission as part of another space segment element NOTE For example: platform, module, instrument, payload.",Functional Requirement,0.5003433967780699,0.5003433967780699,0.39700023289649106,0.019150280949796046,0.04316682478053222,0.040339264595110766,Not Reviewed,2
15,90,CAND_90,3.1.8 space segment subsystem subsystem within a space segment NOTE Examples are given in Annex B.1.,Functional Requirement,0.8037751195230964,0.8037751195230964,0.10809569758976476,0.016657983274513684,0.04572153062183644,0.025749668990788777,Not Reviewed,1
16,91,CAND_91,3.1.9 space segment equipment equipment within a space segment NOTE Examples are given in Annex B.1.,Functional Requirement,0.8231170616510266,0.8231170616510266,0.12068013527911066,0.01126201069068689,0.026418180778743833,0.018522611600432125,Not Reviewed,4
17,92,CAND_92,"14 ECSS‐E‐ST‐10‐03C 1 June 2012 3.1.10 component set of materials, assembled according to defined and controlled processes, which cannot be disassembled without destroying its capability and which performs a simple function that can be evaluated against expected performance requirements NOTE 1 The term ʺpartʺ is synonymous.",Functional Requirement,0.6779981350263701,0.6779981350263701,0.036523545809013964,0.22390309129141897,0.00723422206818154,0.054341005805015295,Not Reviewed,3
18,95,CAND_95,"3.1.11 part see “component” 3.1.12 material raw, semi‐finished or finished substance (gaseous, characteristics from which processing into a component or part is undertaken liquid, solid) of given 3.1.13 flight model (FM) end product that is intended for flight NOTE 1 The flight model is subjected to formal functional and environmental acceptance testing.",Functional Requirement,0.7767416044491522,0.7767416044491522,0.06659618521085614,0.04246262901556537,0.07897592830860026,0.03522365301582612,Not Reviewed,3
19,97,CAND_97,"3.1.14 lifetime period, or number of cycles, over which a product is required to perform according to its specification 3.1.15 protoflight model (PFM) flight model on which a partial or complete protoflight qualification test campaign is performed before flight NOTE More detailed information on the build standard and the use of this model is given in ECSS‐E‐HB‐10‐02.",Functional Requirement,0.49534895912332744,0.49534895912332744,0.021582641643201544,0.0877092080327312,0.07270562060147337,0.32265357059926647,Not Reviewed,1
20,98,CAND_98,"3.1.16 qualification model (QM) model, which fully reflects all aspects of the flight model design, used for complete functional and environmental qualification testing NOTE 1 A qualification model is only necessary for newly‐ designed hardware or when a delta qualification is performed for adaptation to the project.",Operability,0.5260143628605778,0.2836301835190541,0.5260143628605778,0.09010614906202705,0.025387741469962886,0.07486156308837826,Not Reviewed,1
